site,depth (m),revised lat,revised lon,new depth (m)
SBG_1,2.7,43.694,-83.84483,5.1
SBG_2,1.8,43.67768,-83.7185,2.1
SBG_3,3.9,,,3.9
SBG_4,6.4,,,6.4
SBG_5,8,,,8
SBG_6,3.9,43.76006,-83.59945,4.5
SBG_7,1.8,43.79985,-83.53233,4.5
SBG_8,4.8,,,4.8
SBG_9,7.6,,,7.6
SBG_10,5.7,,,5.7
SBG_11,3,43.8729,-83.47172,4.8
SBG_12,2.7,43.9285,-83.813,5.1
SBG_13,6,,,6
SBG_14,12,43.93746,-83.62099,14
SBG_15,2.1,43.94043,-83.50615,3.5
SBG_16,5.7,,,5.7
SBG_17,10,44.01094,-83.58584,13
SBG_18,5,44.03454,-83.49397,7
SBG_19,7.6,,,7.6
SBG_20,9.4,,,9.4
SBG_21,6,44.04722,-83.10695,10
SBG_22,10,,,10
SBG_23,15,,,15
SBG_24,27,,,27
SBG_25,24,,,24
SBG_26,15,,,15
SBG_27,17,,,17
SBG_28,29.5,,,29.5
SBG_29,13.7,,,13.7
OSC_1,3.6,,,3.6
OSC_2,5.7,,,5.7
OSC_3,9.4,,,9.4
OSC_4,16.4,,,16.4
OSC_5,25.9,,,25.9
OSC_6,31,,,31
HBC_1,7.3,,,7.3
HBC_2,15.5,,,15.5
HBC_3,22,,,22
HBC_4,35,,,35
COR_1,1.9,43.73802,-83.68583,4.5
DCK_1,1,43.84256,-83.48641,3.5
NIR_1,1.5,43.87654,-83.45053,3.3
TWR_1,6,,,6
LCR_1,1,44.00736,-83.47688,4
